,description,tags,price,product_id,image
33,"Panthère de Cartier ring, 18K pink gold, set with 137 brilliant-cut diamonds totaling 1.15 carats, emeralds, onyx.","pink gold, diamonds, emeralds, onyx",20700.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/14/41/41/5/1441415.png
34,"Panthère de Cartier ring, 18K yellow gold, onyx, black lacquer, set with 2 tsavorite garnets.","yellow gold, tsavorite garnets, onyx",7550.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/16/49/50/5/1649505.png
35,"Panthère de Cartier ring, 18K white gold, set with 545 brilliant-cut diamonds (1.47 carats), emeralds and onyx.","white gold, emeralds, onyx, diamonds",78500.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/59/84/12/598412.png
36,"Ring - platinum, sapphires, emerald eyes, onyx, 461 brilliant-cut diamonds totaling 4.90 carats.","platinum, sapphires, emeralds, diamonds",132000.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/15/54/61/9/1554619.png
37,"Panthère de Cartier ring, 18K pink gold, onyx, set with 2 tsavorite garnets.","pink gold, tsavorite garnets, onyx",3150.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/18/11/85/2/1811852.png
38,"Panthère de Cartier ring, 18K yellow gold, onyx, set with 2 tsavorite garnets.","yellow gold, tsavorite garnets, onyx",3150.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/18/11/85/1/1811851.png
39,"Panthère de Cartier ring, 18K yellow gold. Tsavorite garnets, onyx.","yellow gold, onyx, tsavorite garnet",6000.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/58/62/99/586299.png
40,"Panthère de Cartier ring, 18K pink gold, tsavorite garnets, onyx.","pink gold, tsavorite garnets, onyx",6000.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/10/22/49/4/1022494.png
41,"Panthère de Cartier ring, 18K yellow gold, onyx, black lacquer, set with 2 tsavorite garnets.","yellow gold, tsavorite garnets, onyx",6100.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/18/11/85/3/1811853.png
42,"Panthère de Cartier ring, 18K white gold, tsavorite garnets, onyx.","white gold, tsavorite garnets, onyx",6450.0,6f39e2aa-a981-99c2-1ba8-12d14679465c,https://www.cartier.sg//content/dam/rcq/car/58/42/06/584206.png
